135,77,2,2,1,2,4,13,3
135,78,2,3,2,3,3,14,2
135,81,2,2,1,2,3,9,2
136,75,10,18,9,18,3,13,40
136,78,2,2,1,2,3,13,10
136,78,4,5,4,5,3,15,3
137,73,2,2,1,2,5,12,6
137,74,10,31,6,31,5,17,238
137,76,2,2,1,2,4,10,6
137,76,3,4,3,4,3,14,2
137,77,5,9,2,9,6,15,112
137,78,7,13,7,13,3,12,172
137,80,7,17,3,17,5,14,169
137,84,4,5,4,5,3,10,2
138,74,3,3,3,3,3,13,5
138,76,4,7,4,7,3,11,31
138,77,4,5,4,5,5,13,56
138,77,57,468,32,468,3,17,204
138,78,2,2,1,2,3,13,1
138,78,3,3,2,3,4,13,15
138,81,16,41,16,41,3,14,99
138,82,5,16,4,16,4,10,71
139,73,3,3,3,3,5,14,172
139,76,4,8,3,8,5,13,125
139,76,83,916,20,916,3,11,17788
139,78,2,2,1,2,4,11,0
139,83,21,49,21,49,4,12,152
140,75,2,2,1,2,3,11,0
140,77,9,19,9,19,5,12,87
140,79,2,2,1,2,3,12,0
140,79,21,51,16,51,5,15,422
140,80,7,10,5,10,4,14,27
140,82,2,2,1,2,3,13,2
141,71,5,7,5,7,4,11,134
141,73,12,32,12,32,4,14,322
141,75,2,2,2,2,5,13,2
141,77,2,2,1,2,4,13,1
141,78,6,9,4,9,4,13,43
141,79,3,3,3,3,4,11,31
141,79,8,15,8,15,3,14,147
141,80,3,4,3,4,3,15,3
141,81,3,4,3,4,4,12,65
142,77,2,2,1,2,3,14,92
142,80,3,4,3,4,4,12,3
142,80,4,5,4,5,3,11,31
142,80,5,10,5,10,3,13,12
142,83,6,10,6,10,3,12,161
143,75,3,3,2,3,4,15,58
143,78,11,32,11,32,3,11,281
143,79,2,2,1,2,3,13,0
143,86,2,2,1,2,4,10,4
144,79,2,2,2,2,4,11,1
144,80,8,14,8,14,2,14,41
144,88,6,10,4,10,4,10,84
145,83,2,2,1,2,3,11,1
145,83,4,6,4,6,3,21,74
145,86,2,2,2,2,6,16,0
146,77,13,68,10,68,4,13,276
146,82,2,2,1,2,4,10,11
146,86,2,3,2,3,4,11,8
147,81,2,2,1,2,3,10,19
148,82,3,3,3,3,3,13,1893
148,82,8,16,7,16,3,14,88
148,83,2,2,1,2,3,13,0
149,81,21,82,13,82,4,16,455
149,84,2,2,2,2,5,10,3
149,84,3,4,3,4,2,12,121
149,85,2,2,1,2,4,11,8
150,79,19,87,5,87,4,16,134
150,79,23,85,21,85,4,21,122
150,83,14,59,5,59,4,16,19
150,84,6,10,6,10,4,14,18
150,85,7,14,6,14,3,13,53
150,88,4,5,3,5,3,17,8
150,89,2,2,1,2,5,11,2
150,90,4,7,4,7,4,15,55
151,81,3,4,3,4,3,16,253
151,83,2,2,1,2,4,13,2
151,84,2,2,1,2,3,16,2
151,84,2,2,1,2,4,16,1
151,89,5,10,5,10,3,12,289
152,81,14,42,7,42,3,13,84
152,85,3,4,3,4,4,11,34
152,86,4,7,4,7,2,15,6
152,90,4,6,1,6,4,13,154
152,94,35,282,7,282,2,12,349
153,85,5,7,2,7,4,14,120
153,88,7,13,5,13,3,12,167
155,87,11,26,10,26,5,16,98
155,88,3,4,3,4,3,13,73
155,89,9,15,4,15,5,15,70
155,91,2,2,1,2,4,14,19
155,94,2,2,1,2,4,12,2
156,83,2,2,1,2,3,16,23
156,85,4,6,4,6,4,14,40
156,87,7,11,7,11,3,13,215
157,86,2,2,1,2,2,16,3
157,86,8,24,2,24,4,12,31
157,89,3,3,2,3,3,10,62
158,86,4,6,4,6,3,16,62
158,89,4,6,1,6,5,18,19
158,90,3,3,3,3,3,15,179
158,91,2,2,1,2,3,14,2
159,85,9,17,9,17,3,15,32
159,86,6,12,6,12,3,12,31
159,98,3,4,3,4,3,11,29
160,88,7,12,7,12,4,15,50
160,90,5,7,4,7,3,11,305
160,91,2,2,1,2,4,16,49
