#num-states,num-transitions,type-size,probability-indeterminate,min-dfa-state-count,min-dfa-transitions-count,count-indeterminate-transitions,inhabited-dfa-language
16,24,2,0.3165917702239067,16,18,3,:satisfiable
16,24,2,0.3570313650360553,16,21,6,:indeterminate
16,24,2,0.5008405680449642,16,20,13,:indeterminate
16,24,4,0.28899410623738825,16,22,8,:indeterminate
16,24,4,0.46298063722125643,16,19,6,:indeterminate
16,25,2,0.24160312026312483,16,22,7,:indeterminate
16,25,2,0.3870738927260371,16,22,12,:indeterminate
16,25,4,0.414942962894089,16,23,9,:satisfiable
16,26,2,0.21503071787605774,16,22,8,:indeterminate
16,26,2,0.4065642474680729,16,23,5,:indeterminate
16,26,3,0.35832081424748646,16,21,5,:indeterminate
16,26,4,0.164650967003422,16,21,2,:indeterminate
16,27,2,0.10093954708347556,16,22,2,:satisfiable
16,27,4,0.08848922514693551,16,21,2,:indeterminate
16,28,2,0.29188284867813596,16,24,8,:indeterminate
16,28,3,0.32972855567623005,16,21,8,:indeterminate
16,28,3,0.38755617690319877,16,24,12,:indeterminate
16,28,3,0.4445826848242212,16,23,11,:indeterminate
16,28,4,0.19906160841936024,16,24,11,:indeterminate
16,29,2,0.48955210494797335,16,23,12,:indeterminate
16,29,3,0.19016326948640697,16,24,3,:indeterminate
16,29,3,0.3836405047725881,16,20,9,:indeterminate
16,29,4,0.1890797093943597,16,23,5,:indeterminate
16,29,4,0.2745159844536649,16,25,7,:indeterminate
16,30,3,0.28337563726201226,16,23,13,:indeterminate
16,30,3,0.5869099817877285,16,25,18,:indeterminate
16,31,2,0.47684430115374415,16,23,8,:indeterminate
16,31,3,0.2844309344136559,16,25,10,:indeterminate
16,31,3,0.32407850012755385,16,24,10,:indeterminate
16,31,4,0.41459064670450574,16,26,11,:indeterminate
16,31,4,0.4170526339209797,16,25,11,:indeterminate
16,32,2,0.3226451906575441,16,26,9,:satisfiable
16,32,3,0.17815240201129642,16,25,3,:satisfiable
16,32,3,0.4268959826462085,16,25,12,:indeterminate
16,32,4,0.06891906740734051,16,24,2,:satisfiable
16,33,2,0.2135933721793062,16,28,6,:satisfiable
16,33,2,0.25740882716124464,16,24,3,:satisfiable
16,33,3,0.24520631303652396,16,25,5,:satisfiable
16,33,3,0.2694698102697706,16,26,9,:indeterminate
16,33,3,0.36780273258645596,16,21,6,:indeterminate
16,33,4,0.3790250134651763,16,25,11,:indeterminate
16,33,4,0.3997243867877474,16,25,12,:indeterminate
16,33,4,0.4974886162777857,16,27,16,:indeterminate
16,34,2,0.13141624443141806,16,30,5,:indeterminate
16,34,2,0.30806114738870144,16,26,9,:indeterminate
16,34,2,0.44079050639115414,16,26,14,:satisfiable
16,34,2,0.4853975671218551,16,28,14,:indeterminate
16,34,3,0.2943724245252055,16,26,10,:indeterminate
16,34,4,0.17939884792969532,16,26,3,:satisfiable
16,35,3,0.07869446219558189,16,27,6,:satisfiable
16,35,3,0.33909315675543095,16,29,12,:satisfiable
16,36,2,0.18119360430784281,16,30,8,:satisfiable
16,36,2,0.20205472118409998,16,28,11,:indeterminate
16,36,3,0.3256845226004281,16,25,9,:indeterminate
16,37,2,0.2892651395057166,16,28,10,:indeterminate
16,37,3,0.4540757028178282,16,29,10,:indeterminate
16,38,3,0.26861884264779917,16,29,12,:indeterminate
16,39,2,0.5237685471521883,16,26,13,:indeterminate
16,39,3,0.35283908305532147,16,34,15,:indeterminate
16,40,2,0.29195674806978605,16,28,9,:indeterminate
16,40,2,0.31243984803819286,16,32,11,:satisfiable
16,40,2,0.46779111223674036,16,30,16,:indeterminate
16,41,2,0.2599625751772014,16,30,14,:indeterminate
16,41,3,0.4742426130682121,16,23,10,:indeterminate
16,41,4,0.16840761352742392,16,26,5,:indeterminate
16,43,2,0.17683900989405435,16,29,6,:satisfiable
16,44,2,0.2704439070001335,16,27,5,:satisfiable
16,44,3,0.028870466095150277,16,32,1,:satisfiable
16,44,3,0.10282814145594328,16,28,4,:satisfiable
17,17,4,0.41469808999391383,17,16,6,:indeterminate
17,18,4,0.439715536710245,17,17,11,:indeterminate
17,20,2,0.0901789635649786,17,19,3,:indeterminate
17,20,3,0.13933666604406422,17,18,3,:indeterminate
17,21,2,0.21488021242476818,17,19,5,:indeterminate
17,21,3,0.3487413615973824,17,18,8,:indeterminate
17,21,4,0.2897656753654795,17,20,3,:satisfiable
17,23,4,0.12607912733078083,17,20,3,:indeterminate
17,24,2,0.36841253455880646,17,19,8,:indeterminate
17,25,2,0.42529587490295073,17,22,9,:satisfiable
17,25,4,0.4690513769631049,17,22,12,:indeterminate
17,26,3,0.1470857393859162,17,22,5,:indeterminate
17,26,3,0.4416550681336939,17,22,13,:indeterminate
17,26,4,0.2632892627729606,17,24,7,:satisfiable
17,27,2,0.1346740810095702,17,21,7,:indeterminate
17,27,3,0.23156911373928932,17,23,8,:indeterminate
17,27,4,0.1539948857533506,17,23,1,:satisfiable
17,28,2,0.5097180898008796,17,25,18,:indeterminate
17,28,3,0.3010842933323184,17,25,11,:indeterminate
17,28,3,0.4587432677585855,17,24,13,:indeterminate
17,28,4,0.5283196926027557,17,26,13,:indeterminate
17,29,2,0.2718711397555555,17,20,5,:indeterminate
17,29,3,0.4103333454222031,17,25,13,:indeterminate
17,29,4,0.40290096095629213,17,25,9,:indeterminate
17,29,4,0.5601794929159228,17,22,6,:indeterminate
17,30,2,0.10568333689632355,17,27,2,:satisfiable
17,30,2,0.2903071390567405,17,25,12,:indeterminate
17,30,2,0.6422829509975149,17,28,16,:indeterminate
17,30,3,0.2757214646136719,17,24,4,:indeterminate
17,30,4,0.03379367342724141,17,25,2,:satisfiable
17,30,4,0.31257887321703276,17,27,15,:indeterminate
17,31,3,0.150682224012626,17,24,5,:satisfiable
17,31,3,0.21567061879515093,17,25,7,:indeterminate
17,31,4,0.22182895275026981,17,25,2,:indeterminate
17,31,4,0.25093611965909773,17,25,8,:indeterminate
17,31,4,0.4903294145512362,17,25,14,:indeterminate
17,32,2,0.15046852292589538,17,27,6,:indeterminate
17,32,2,0.3232744804718481,17,27,6,:satisfiable
17,32,3,0.49775239813813615,17,26,17,:indeterminate
17,32,4,0.3689335809821494,17,25,11,:indeterminate
17,32,4,0.4608869031470251,17,27,10,:indeterminate
17,33,2,0.1648834568096265,17,25,9,:indeterminate
17,33,2,0.19371620866528472,17,27,8,:indeterminate
17,33,2,0.22269554787638132,17,29,8,:indeterminate
17,33,2,0.31959560927248115,17,24,11,:indeterminate
17,33,4,0.35481457930394766,17,27,13,:indeterminate
17,33,4,0.3755156424469783,17,28,9,:indeterminate
17,34,2,0.12372243770042601,17,26,5,:satisfiable
17,34,2,0.32434541188392424,17,30,14,:indeterminate
17,34,3,0.3486784636892164,17,30,17,:indeterminate
17,34,4,0.060810758999088534,17,29,2,:satisfiable
17,34,4,0.28386498728379,17,27,7,:indeterminate
17,35,2,0.41682261953184935,17,28,9,:satisfiable
17,35,3,0.22212149370942183,17,25,8,:indeterminate
17,35,4,0.060510946827638766,17,25,3,:satisfiable
17,35,4,0.4323562150945824,17,31,19,:indeterminate
17,36,3,0.4146858925607811,17,33,17,:indeterminate
17,36,3,0.44561930143334977,17,30,13,:indeterminate
17,36,3,0.5350298937511608,17,26,15,:indeterminate
17,36,4,0.30858410699976796,17,27,11,:indeterminate
17,37,2,0.19520207042331664,17,30,5,:satisfiable
17,37,3,0.22234395363188794,17,32,13,:indeterminate
17,37,3,0.35843283514920854,17,29,11,:satisfiable
17,37,3,0.4110125580976942,17,29,15,:indeterminate
17,38,2,0.4794144355044508,17,34,20,:indeterminate
17,38,3,0.33339199132506536,17,31,13,:indeterminate
17,38,4,0.12115462045392637,17,28,3,:indeterminate
17,39,2,0.49888914700823445,17,30,13,:indeterminate
17,39,2,0.6089106744246001,17,25,18,:indeterminate
17,39,3,0.2366664477707331,17,29,7,:satisfiable
17,39,3,0.2564883306458134,17,28,8,:satisfiable
17,39,4,0.20201328536218166,17,31,9,:indeterminate
17,40,2,0.14009702188050702,17,29,3,:satisfiable
17,40,2,0.3898149473349797,17,31,14,:indeterminate
17,40,4,0.13745924968792314,17,33,2,:satisfiable
17,41,2,0.4232994212835394,17,34,18,:satisfiable
17,41,2,0.4736955089544778,17,33,15,:indeterminate
17,41,2,0.5586297814642882,17,33,23,:indeterminate
17,43,3,0.10297470015330108,17,32,2,:satisfiable
17,43,3,0.10815627415435584,17,29,0,:satisfiable
17,43,4,0.5202118318661049,17,33,17,:indeterminate
17,44,3,0.3684903260871122,17,30,13,:indeterminate
17,45,4,0.3362452465580228,17,35,10,:satisfiable
17,45,4,0.4929658184171178,17,33,16,:indeterminate
17,46,4,0.3616746651573508,17,32,12,:indeterminate
17,47,2,0.41868771906061997,17,32,11,:indeterminate
18,19,2,0.19052479826107596,18,17,2,:indeterminate
18,20,4,0.25599099024873956,18,19,6,:indeterminate
18,20,4,0.5072253830183031,18,19,9,:indeterminate
18,21,2,0.08305001005558026,18,20,4,:indeterminate
18,21,2,0.2403617459230366,18,20,5,:indeterminate
18,22,3,0.2543058455066666,18,20,6,:indeterminate
18,22,4,0.12660846633333708,18,21,2,:indeterminate
